"MBIEInstitutionName1","MBIEInstitutionName2","MBIEInstitutionClass1","MBIEInstitutionClass2","CollaborationRecord"
"45 South Management Ltd.","GF McLaren Research Limited","Business Enterprise","Business Enterprise",1
"45 South Management Ltd.","Plant and Food Research","Business Enterprise","Government",1
"Abacus ALS","Massey University","Business Enterprise","Higher Education",1
"Abacus ALS","MidCentral District Health Board","Business Enterprise","Government",1
"AbacusBio Ltd.","AgResearch","Business Enterprise","Government",1
"AbacusBio Ltd.","Alliance Group Ltd","Business Enterprise","Business Enterprise",1
"AbacusBio Ltd.","Beef and Lamb New Zealand","Business Enterprise","Business Enterprise",1
"AbacusBio Ltd.","DairyNZ","Business Enterprise","Business Enterprise",1
"AbacusBio Ltd.","Massey University","Business Enterprise","Higher Education",3
"AbacusBio Ltd.","NIWA","Business Enterprise","Government",1
"AbacusBio Ltd.","University of Otago","Business Enterprise","Higher Education",4
"ABB Power Quality","University of Canterbury","Business Enterprise","Higher Education",3
"ABI Rehabilitation New Zealand Ltd.","Waikato District Health Board","Business Enterprise","Government",1
"AC Research Associates","Counties Manukau District Health Board","Business Enterprise","Government",1
"AC Research Associates","Erin Park","Business Enterprise","Business Enterprise",1
"AC Research Associates","Guardian Health Care (Bupa)","Business Enterprise","Business Enterprise",1
"AC Research Associates","University of Auckland","Business Enterprise","Higher Education",2
"AC Research Associates","Waitemata District Health Board","Business Enterprise","Government",1
"Academic Colleges Group New Zealand","University of Auckland","Private not for profit","Higher Education",2
"Accident Compensation Corporation","Air New Zealand","Government","Business Enterprise",1
"Accident Compensation Corporation","AUT University","Government","Higher Education",7
"Accident Compensation Corporation","Counties Manukau District Health Board","Government","Government",2
"Accident Compensation Corporation","Health New Zealand Ltd.","Government","Business Enterprise",1
"Accident Compensation Corporation","Health Promotion Agency","Government","Government",1
"Accident Compensation Corporation","Health Quality and Safety Commission","Government","Government",1
"Accident Compensation Corporation","Hutt Valley District Health Board","Government","Government",3
"Accident Compensation Corporation","International Society for Skiing Safety","Government","Private not for profit",1
"Accident Compensation Corporation","Massey University","Government","Higher Education",1
"Accident Compensation Corporation","Penny and Associates Ltd","Government","Business Enterprise",1
"Accident Compensation Corporation","Royal New Zealand College of General Practitioners","Government","Private not for profit",1
"Accident Compensation Corporation","Southern District Health Board","Government","Government",1
"Accident Compensation Corporation","University of Auckland","Government","Higher Education",6
"Accident Compensation Corporation","University of Canterbury","Government","Higher Education",3
"Accident Compensation Corporation","University of Otago","Government","Higher Education",5
"Accident Compensation Corporation","University of Waikato","Government","Higher Education",1
"Accident Compensation Corporation","Victoria University of Wellington","Government","Higher Education",1
"Accident Compensation Corporation","Waitemata District Health Board","Government","Government",1
"Action on Smoking and Health New Zealand","University of Auckland","Private not for profit","Higher Education",5
"Active Health","Tait Communications","Business Enterprise","Business Enterprise",1
"Active Health","University of Otago","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","Auckland District Health Board","Business Enterprise","Government",2
"Acurity Health Group ltd.","Capital and Coast District Health Board","Business Enterprise","Government",5
"Acurity Health Group ltd.","Counties Manukau District Health Board","Business Enterprise","Government",1
"Acurity Health Group ltd.","CURT St George's Medical Centre","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","Medical Research Institute of New Zealand","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","Pacific Edge Biotechnology Ltd.","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","Pacific Radiology Group","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","Southern District Health Board","Business Enterprise","Government",1
"Acurity Health Group ltd.","Tauranga Urology Research","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","University of Auckland","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","University of Canterbury","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","University of Otago","Business Enterprise","Higher Education",9
"Acurity Health Group ltd.","Victoria University of Wellington","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","Waitemata District Health Board","Business Enterprise","Government",1
"Ade Consultants","University of Auckland","Business Enterprise","Higher Education",1
"Adidas Sports Medicine","University of Auckland","Business Enterprise","Higher Education",2
"Adis International Ltd.","R and D Insight","Business Enterprise","Business Enterprise",3
"Adis International Ltd.","Te Pou","Business Enterprise","Private not for profit",2
"Adis International Ltd.","University of Auckland","Business Enterprise","Higher Education",3
"Adis International Ltd.","Waitemata District Health Board","Business Enterprise","Government",2
"Advanced Clinical Skills Centre","Auckland District Health Board","Business Enterprise","Government",1
"Advanced Clinical Skills Centre","University of Auckland","Business Enterprise","Higher Education",1
"AECOM","Auckland Council","Business Enterprise","Government",2
"AECOM","Aurecon","Business Enterprise","Business Enterprise",1
"AECOM","Beca","Business Enterprise","Business Enterprise",1
"AECOM","Meridian Energy Ltd.","Business Enterprise","Business Enterprise",1
"AECOM","University of Auckland","Business Enterprise","Higher Education",2
"AECOM","University of Canterbury","Business Enterprise","Higher Education",1
"AECS Ltd.","University of Waikato","Business Enterprise","Higher Education",1
"Aerocool Ltd.","University of Waikato","Business Enterprise","Higher Education",2
"Aeroqual Ltd.","Air Quality Ltd.","Business Enterprise","Business Enterprise",1
"Aeroqual Ltd.","GNS Science","Business Enterprise","Government",1
"Aeroqual Ltd.","NIWA","Business Enterprise","Government",1
"Aeroqual Ltd.","University of Auckland","Business Enterprise","Higher Education",4
"Aeroqual Ltd.","University of Canterbury","Business Enterprise","Higher Education",1
"Affinity Services","University of Auckland","Business Enterprise","Higher Education",1
"AFT Pharmaceuticals Ltd","Braemar Hospital","Business Enterprise","Business Enterprise",1
"AFT Pharmaceuticals Ltd","Canterbury District Health Board","Business Enterprise","Government",1
"AFT Pharmaceuticals Ltd","Southern Clinical Trials Group Ltd.","Business Enterprise","Business Enterprise",1
"AFT Pharmaceuticals Ltd","University of Auckland","Business Enterprise","Higher Education",3
"AFT Pharmaceuticals Ltd","University of Otago","Business Enterprise","Higher Education",2
"AFTpharmaceuticals","University of Auckland","Business Enterprise","Higher Education",1
"Agencies for Nutrition Action","Te Awakairangi Health Network","Private not for profit","Private not for profit",1
"Agencies for Nutrition Action","University of Otago","Private not for profit","Higher Education",1
"Agile Utilities New Zealand Ltd","Massey University","Business Enterprise","Higher Education",1
"Agknowledge Ltd.","AgResearch","Business Enterprise","Government",1
"Agknowledge Ltd.","Ballance Agri-Nutrients Limited","Business Enterprise","Business Enterprise",1
"Agknowledge Ltd.","Lincoln University","Business Enterprise","Higher Education",1
"Agknowledge Ltd.","Ravensdown Fertiliser Coopererative","Business Enterprise","Business Enterprise",1
"AgResearch","Agri-Search Ltd","Government","Business Enterprise",1
"AgResearch","Agvance Marketing Ltd.","Government","Business Enterprise",2
"AgResearch","Alliance Group Ltd","Government","Business Enterprise",1
"AgResearch","Alphalabs","Government","Business Enterprise",1
"AgResearch","Anexa FVC","Government","Business Enterprise",3
"AgResearch","Animal Dermatology NZ","Government","Business Enterprise",1
"AgResearch","Animal Health Board New Zealand","Government","Business Enterprise",2
"AgResearch","ANZCO Foods Ltd.","Government","Business Enterprise",5
"AgResearch","AquaBio Consultants Ltd.","Government","Business Enterprise",1
"AgResearch","Aquaculture New Zealand","Government","Private not for profit",1
"AgResearch","Aqualinc Research Ltd.","Government","Business Enterprise",1
"AgResearch","Aroa Biosurgery","Government","Business Enterprise",1
"AgResearch","Arotec Diagnostics Ltd.","Government","Business Enterprise",2
"AgResearch","Auckland Council","Government","Government",4
"AgResearch","Aurecon","Government","Business Enterprise",1
"AgResearch","AUT University","Government","Higher Education",10
"AgResearch","Avivet Ltd","Government","Business Enterprise",1
"AgResearch","Ballance Agri-Nutrients Limited","Government","Business Enterprise",6
"AgResearch","Bay of Plenty Polytechnic","Government","Higher Education",1
"AgResearch","Biosecurity New Zealand","Government","Government",1
"AgResearch","Biotelliga Ltd","Government","Business Enterprise",2
"AgResearch","Bomac Laboratories Ltd","Government","Business Enterprise",1
"AgResearch","Callaghan Innovation","Government","Government",7
"AgResearch","Cambridge Veterinary Services","Government","Business Enterprise",1
"AgResearch","Canterbury District Health Board","Government","Government",1
"AgResearch","Canterbury Museum","Government","Private not for profit",6
"AgResearch","Canterbury Soil and Plant Limited","Government","Business Enterprise",1
"AgResearch","Capital and Coast District Health Board","Government","Government",1
"AgResearch","Cawthron Institute","Government","Business Enterprise",24
"AgResearch","CH and Associates","Government","Business Enterprise",1
"AgResearch","Cognosco","Government","Business Enterprise",2
"AgResearch","Cropmark Seeds Limited","Government","Business Enterprise",1
"AgResearch","Dairy Goat Co-operative (NZ) Ltd.","Government","Business Enterprise",2
"AgResearch","DairyNZ","Government","Business Enterprise",42
"AgResearch","David Penman and Associates","Government","Business Enterprise",1
"AgResearch","Department of Conservation","Government","Government",5
"AgResearch","Eco Nomos Ltd.","Government","Business Enterprise",1
"AgResearch","Enviro Research","Government","Private not for profit",1
"AgResearch","Environment Canterbury","Government","Government",1
"AgResearch","Environment Protection Authority(EPA)","Government","Government",2
"AgResearch","ESR","Government","Government",25
"AgResearch","Farmax Ltd.","Government","Business Enterprise",3
"AgResearch","Fish and Game NZ","Government","Government",1
"AgResearch","Fonterra","Government","Business Enterprise",12
"AgResearch","Food and Bio-based Products Group","Government","Business Enterprise",2
"AgResearch","Food and Environment Solution","Government","Business Enterprise",1
"AgResearch","Food and Health Group","Government","Business Enterprise",1
"AgResearch","Foundation for Arable Research","Government","Business Enterprise",3
"AgResearch","Fruition Technology","Government","Business Enterprise",1
"AgResearch","GNS Science","Government","Government",9
"AgResearch","Greater Wellington Regional Council","Government","Government",1
"AgResearch","Gribbles Veterinary","Government","Business Enterprise",3
"AgResearch","Harris Consulting","Government","Business Enterprise",1
"AgResearch","Hawke's Bay Regional Council","Government","Government",1
"AgResearch","Horizons Regional Council","Government","Government",2
"AgResearch","Infoics Limited","Government","Business Enterprise",2
"AgResearch","Insect Science Solutions","Government","Business Enterprise",1
"AgResearch","InterAg","Government","Business Enterprise",2
"AgResearch","Intervet/Schering-Plough Animal Health Ltd","Government","Business Enterprise",1
"AgResearch","Johne's Management Limited","Government","Business Enterprise",1
"AgResearch","Keratec Ltd.","Government","Business Enterprise",2
"AgResearch","Landcare Research","Government","Government",98
"AgResearch","Landcorp Farming Limited","Government","Business Enterprise",2
"AgResearch","Learning for Sustainability","Government","Private not for profit",1
"AgResearch","Leather & Shoe Research Association of New Zealand","Government","Business Enterprise",1
"AgResearch","LIC","Government","Business Enterprise",9
"AgResearch","Lincoln Agritech Ltd.","Government","Business Enterprise",1
"AgResearch","Lincoln University","Government","Higher Education",224
"AgResearch","Massey University","Government","Higher Education",362
"AgResearch","Mesynthes Ltd.","Government","Business Enterprise",2
"AgResearch","MidCentral District Health Board","Government","Government",1
"AgResearch","Ministry for Primary Industries","Government","Government",42
"AgResearch","Mt. Aspiring Geochemical Ltd.","Government","Business Enterprise",1
"AgResearch","New Zealand Agricultural Greenhouse Gas Research Centre","Government","Private not for profit",4
"AgResearch","New Zealand Arable","Government","Business Enterprise",2
"AgResearch","New Zealand BioSecure Entomology Laboratory Research","Government","Business Enterprise",2
"AgResearch","New Zealand Trade and Enterprise","Government","Government",1
"AgResearch","NIWA","Government","Government",26
"AgResearch","Northcott Research Consultants Ltd.","Government","Business Enterprise",1
"AgResearch","NorthTec","Government","Higher Education",1
"AgResearch","Nufarm","Government","Business Enterprise",3
"AgResearch","Nutrigenomics New Zealand","Government","Government",3
"AgResearch","Office of the Prime Minister's Chief Science Advisor","Government","Government",1
"AgResearch","OSPRI","Government","Private not for profit",3
"AgResearch","OSPRI New Zealand Ltd","Government","Business Enterprise",1
"AgResearch","Otago Museum","Government","Private not for profit",1
"AgResearch","Otago Regional Council","Government","Government",2
"AgResearch","Pastoral Genomics","Government","Business Enterprise",1
"AgResearch","PGG Wrightson Seeds Ltd.","Government","Business Enterprise",5
"AgResearch","Pipfruit New Zealand","Government","Business Enterprise",1
"AgResearch","Plant and Food Research","Government","Government",134
"AgResearch","PlusGroup Limited","Government","Business Enterprise",1
"AgResearch","Pohatu Penguins","Government","Business Enterprise",1
"AgResearch","PriceWaterhouse Coopers (PwC)","Government","Business Enterprise",4
"AgResearch","PSL Limited","Government","Business Enterprise",1
"AgResearch","Ravensdown Fertiliser Coopererative","Government","Business Enterprise",3
"AgResearch","Saville Statistical Consulting Ltd","Government","Business Enterprise",13
"AgResearch","SciLactis Ltd.","Government","Business Enterprise",6
"AgResearch","Scion","Government","Government",35
"AgResearch","Seeka Kiwifruit Industries","Government","Business Enterprise",1
"AgResearch","Southern Monitoring Services New Zealand BioSecure","Government","Business Enterprise",1
"AgResearch","Southern Rangitikei Veterinary Services","Government","Business Enterprise",2
"AgResearch","Straven Road Veterinary Centre","Government","Business Enterprise",1
"AgResearch","Tasman District Council","Government","Government",1
"AgResearch","Te Kauwhata College","Government","Government",1
"AgResearch","Te Papa Tongarewa","Government","Private not for profit",9
"AgResearch","Towers Consulting","Government","Business Enterprise",2
"AgResearch","UCOL","Government","Higher Education",2
"AgResearch","Unitec","Government","Higher Education",1
"AgResearch","University of Auckland","Government","Higher Education",154
"AgResearch","University of Canterbury","Government","Higher Education",55
"AgResearch","University of Otago","Government","Higher Education",108
"AgResearch","University of Waikato","Government","Higher Education",71
"AgResearch","Vernon Willey Trust Fellow","Government","Private not for profit",1
"AgResearch","Victoria University of Wellington","Government","Higher Education",48
"AgResearch","VSN (NZ) Ltd.","Government","Business Enterprise",2
"AgResearch","W. M. Consultancy Ltd","Government","Business Enterprise",1
"AgResearch","Waikato District Health Board","Government","Government",4
"AgResearch","Waikato Regional Council","Government","Government",5
"AgResearch","West Coast Regional Council","Government","Government",1
"AgResearch","Whelan and Associates","Government","Business Enterprise",1
"AgResearch","Wintec","Government","Higher Education",2
"AgResearch","Xcluder Fencing","Government","Business Enterprise",1
"AgResearch","Zespri International Ltd.","Government","Business Enterprise",3
"Agri-Optic NZ Ltd.","Massey University","Business Enterprise","Higher Education",1
"Agribusiness Group","Plant and Food Research","Business Enterprise","Government",1
"Agribusiness Group","University of Otago","Business Enterprise","Higher Education",1
"AgriGenesis Biosciences Ltd","Intellectual Property Office of New Zealand","Business Enterprise","Government",1
"AgriGenesis Biosciences Ltd","Landcare Research","Business Enterprise","Government",1
"AgriGenesis Biosciences Ltd","Ministry for Primary Industries","Business Enterprise","Government",1
"AgriGenesis Biosciences Ltd","Plant and Food Research","Business Enterprise","Government",1
"AgriHealth NZ Limited","Anexa FVC","Business Enterprise","Business Enterprise",3
"Agrimm Technologies Ltd","Lincoln University","Business Enterprise","Higher Education",4
"AgriNova NZ Ltd","Fruition Horticulture","Business Enterprise","Business Enterprise",1
"AgriNova NZ Ltd","Plant and Food Research","Business Enterprise","Government",2
"AgriQuality Limited","Plant and Food Research","Business Enterprise","Government",2
"Agvance Marketing Ltd.","Massey University","Business Enterprise","Higher Education",2
"Air New Zealand","Auckland District Health Board","Business Enterprise","Government",3
"Air New Zealand","Counties Manukau District Health Board","Business Enterprise","Government",2
"Air New Zealand","ESR","Business Enterprise","Government",1
"Air New Zealand","Health Quality and Safety Commission","Business Enterprise","Government",1
"Air New Zealand","Penny and Associates Ltd","Business Enterprise","Business Enterprise",1
"Air New Zealand","Royal New Zealand College of General Practitioners","Business Enterprise","Private not for profit",1
"Air New Zealand","University of Auckland","Business Enterprise","Higher Education",5
"Air New Zealand","University of Otago","Business Enterprise","Higher Education",4
"Air New Zealand","Waitemata District Health Board","Business Enterprise","Government",2
"Air Quality Ltd.","University of Auckland","Business Enterprise","Higher Education",1
"Airborne Honey Ltd.","Quintessence Developments Ltd.","Business Enterprise","Business Enterprise",1
"Airborne Honey Ltd.","Syft Technologies Ltd","Business Enterprise","Business Enterprise",1
"Airborne Honey Ltd.","University of Canterbury","Business Enterprise","Higher Education",1
"Akaroa Medical Centre","University of Otago","Business Enterprise","Higher Education",1
"Ako Aotearoa National Centre for Tertiary Teaching Excellence","Victoria University of Wellington","Higher Education","Higher Education",4
"Akoranga Integrated Health Clinic","AUT University","Business Enterprise","Higher Education",1
"Alan Bell and Associates","Ministry for the Environment","Business Enterprise","Government",1
"Alan Bell and Associates","Scion","Business Enterprise","Government",1
"Alan Bell and Associates","Waiariki Institute of Technology","Business Enterprise","Higher Education",1
"Albany Basin Accident and Medical Centre","Waitemata District Health Board","Business Enterprise","Government",1
"Alcohol Advisory Council of New Zealand","Whakauae Research","Government","Business Enterprise",1
"Alcohol Advisory Council of New Zealand","Wicksteed Medical Services Whanganui Regional PHO","Government","Business Enterprise",1
"Alcohol Harm Minimisation Advisory Group","Canterbury District Health Board","Private not for profit","Government",5
"Alcohol Harm Minimisation Advisory Group","Pegasus Health Ltd","Private not for profit","Business Enterprise",2
"Alcohol Harm Minimisation Advisory Group","University of Otago","Private not for profit","Higher Education",2
"Alcohol Healthwatch Trust","University of Auckland","Private not for profit","Higher Education",1
"Alexandra Lions Club","Landcare Research","Private not for profit","Government",1
"Alexandra Medical Centre","University of Otago","Business Enterprise","Higher Education",1
"Alfriston College","University of Waikato","Government","Higher Education",1
"All Seasons Pharmacy","University of Auckland","Business Enterprise","Higher Education",1
"Allan Planning and Research Ltd.","NIWA","Business Enterprise","Government",1
"Allen & Clarke  Policy and Regulatory Specialists Limited","Department of Conservation","Business Enterprise","Government",1
"Allen & Clarke  Policy and Regulatory Specialists Limited","Local Government New Zealand","Business Enterprise","Government",1
"Allen & Clarke  Policy and Regulatory Specialists Limited","University of Auckland","Business Enterprise","Higher Education",1
"Allen & Clarke  Policy and Regulatory Specialists Limited","University of Otago","Business Enterprise","Higher Education",2
"Alphalabs","ESR","Business Enterprise","Government",1
"Alpine and Polar Processes Consultancy","GNS Science","Business Enterprise","Government",1
"Alpine and Polar Processes Consultancy","University of Canterbury","Business Enterprise","Higher Education",1
"Alpine and Polar Processes Consultancy","Victoria University of Wellington","Business Enterprise","Higher Education",1
"Alzheimers Northland","Ryman Healthcare","Private not for profit","Business Enterprise",1
"Amalgamates Solutions and Research Ltd.","GNS Science","Business Enterprise","Government",2
"Amalgamates Solutions and Research Ltd.","University of Waikato","Business Enterprise","Higher Education",2
"Amity Health Centre","University of Otago","Business Enterprise","Higher Education",1
"Ancare New Zealand Ltd.","University of Otago","Business Enterprise","Higher Education",2
"Ancare Scientific Ltd","Plant and Food Research","Business Enterprise","Government",1
"Ancare Scientific Ltd","University of Auckland","Business Enterprise","Higher Education",6
"Ancare Scientific Ltd","Victoria University of Wellington","Business Enterprise","Higher Education",6
"Anexa FVC","Dairy Consultants Ltd.","Business Enterprise","Business Enterprise",1
"Anexa FVC","Dairy Goat Co-operative (NZ) Ltd.","Business Enterprise","Business Enterprise",3
"Anexa FVC","DairyNZ","Business Enterprise","Business Enterprise",7
"Anexa FVC","Eltham District Veterinary Services","Business Enterprise","Business Enterprise",2
"Anexa FVC","LIC","Business Enterprise","Business Enterprise",1
"Anexa FVC","Lincoln University","Business Enterprise","Higher Education",1
"Anexa FVC","Massey University","Business Enterprise","Higher Education",9
"Anexa FVC","University of Auckland","Business Enterprise","Higher Education",4
"Anglesea Medical Properties Ltd","Nelson Marlborough District Health Board","Business Enterprise","Government",1
"Anglesea Medical Properties Ltd","University of Auckland","Business Enterprise","Higher Education",1
"Anglesea Medical Properties Ltd","University of Waikato","Business Enterprise","Higher Education",2
"Anglesea Medical Properties Ltd","Waikato District Health Board","Business Enterprise","Government",1
"Anglesea Medical Properties Ltd","Waitemata District Health Board","Business Enterprise","Government",2
"Animal Dermatology NZ","Cambridge Veterinary Services","Business Enterprise","Business Enterprise",1
"Animal Dermatology NZ","Gribbles Veterinary","Business Enterprise","Business Enterprise",1
"Animal Health Board New Zealand","Landcare Research","Business Enterprise","Government",2
"Animal Health Board New Zealand","OSPRI","Business Enterprise","Private not for profit",1
"Animal Health Board New Zealand","Waikato District Health Board","Business Enterprise","Government",1
"Animals and Marine Surveillance and Investigation Team","Massey University","Business Enterprise","Higher Education",1
"Animation Research Limited","University of Otago","Business Enterprise","Higher Education",1
"Antarctic Heritage Trust","University of Waikato","Private not for profit","Higher Education",1
"Antarctica New Zelaand","Aquatic Research Solutions Ltd.","Government","Business Enterprise",1
"Antarctica New Zelaand","Bartonk Solutions","Government","Business Enterprise",1
"Antarctica New Zelaand","Landcare Research","Government","Government",1
"Antarctica New Zelaand","NIWA","Government","Government",2
"Antarctica New Zelaand","University of Canterbury","Government","Higher Education",1
"Antarctica New Zelaand","University of Otago","Government","Higher Education",1
"Antarctica New Zelaand","University of Waikato","Government","Higher Education",2
"Antarctica Scientific Limited","Department of Conservation","Business Enterprise","Government",1
"Antarctica Scientific Limited","GNS Science","Business Enterprise","Government",1
"Antipodean Pharmaceuticals","Auckland District Health Board","Business Enterprise","Government",1
"Antipodean Pharmaceuticals","Canterbury District Health Board","Business Enterprise","Government",1
"Antipodean Pharmaceuticals","University of Otago","Business Enterprise","Higher Education",1
"Aorangi Veterinary Services","Gribbles Veterinary","Business Enterprise","Business Enterprise",1
"Aotea Pathology Ltd.","Auckland District Health Board","Business Enterprise","Government",2
"Aotea Pathology Ltd.","Canterbury District Health Board","Business Enterprise","Government",2
"Aotea Pathology Ltd.","Capital and Coast District Health Board","Business Enterprise","Government",3
"Aotea Pathology Ltd.","ESR","Business Enterprise","Government",1
"Aotea Pathology Ltd.","Hutt Valley District Health Board","Business Enterprise","Government",2
"Aotea Pathology Ltd.","Labtests","Business Enterprise","Business Enterprise",3
"Aotea Pathology Ltd.","Massey University","Business Enterprise","Higher Education",2
"Aotea Pathology Ltd.","Ministry of Health","Business Enterprise","Government",1
"Aotea Pathology Ltd.","Nelson Marlborough District Health Board","Business Enterprise","Government",1
"Aotea Pathology Ltd.","New Zealand Familial Gastrointestinal Cancer Service","Business Enterprise","Private not for profit",1
"Aotea Pathology Ltd.","New Zealand Guidelines Group","Business Enterprise","Private not for profit",1
"Aotea Pathology Ltd.","University of Auckland","Business Enterprise","Higher Education",2
"Aotea Pathology Ltd.","University of Otago","Business Enterprise","Higher Education",5
"Aotea Pathology Ltd.","Waikato District Health Board","Business Enterprise","Government",1
"Aotearoa Alcohol and Other Drug Consumer Network","Needle Exchange Programme NZ","Private not for profit","Private not for profit",2
"Aotearoa Alcohol and Other Drug Consumer Network","University of Auckland","Private not for profit","Higher Education",2
"Aotearoa Alcohol and Other Drug Consumer Network","University of Otago","Private not for profit","Higher Education",2
"AP EnerTec Ltd.","Pan Pac Forest Products","Business Enterprise","Business Enterprise",1
"Applied Engineering Research Ltd.","Scion","Business Enterprise","Government",1
"Applied Research and Technologies Ltd.","Fruition Horticulture","Business Enterprise","Business Enterprise",1
"Applied Research and Technologies Ltd.","Plant and Food Research","Business Enterprise","Government",1
"Applied Research and Technologies Ltd.","Plant Protection Chemistry NZ Ltd","Business Enterprise","Business Enterprise",2
"Applied Research and Technologies Ltd.","Spray-tec","Business Enterprise","Business Enterprise",1
"Applied Research Associates New Zealand","Contact Energy Ltd.","Business Enterprise","Business Enterprise",1
"Applied Research Associates New Zealand","GNS Science","Business Enterprise","Government",1
"AquaBio Consultants Ltd.","Cawthron Institute","Business Enterprise","Business Enterprise",2
"Aquaculture New Zealand","Cawthron Institute","Private not for profit","Business Enterprise",1
"Aquaculture New Zealand","Ministry for Primary Industries","Private not for profit","Government",3
"Aquaculture New Zealand","University of Otago","Private not for profit","Higher Education",1
"Aqualinc Research Ltd.","Environment Canterbury","Business Enterprise","Government",1
"Aqualinc Research Ltd.","ESR","Business Enterprise","Government",5
"Aqualinc Research Ltd.","GNS Science","Business Enterprise","Government",1
"Aqualinc Research Ltd.","Lincoln Agritech Ltd.","Business Enterprise","Business Enterprise",5
"Aqualinc Research Ltd.","Lincoln University","Business Enterprise","Higher Education",1
"Aqualinc Research Ltd.","NIWA","Business Enterprise","Government",8
"Aqualinc Research Ltd.","Plant and Food Research","Business Enterprise","Government",2
"Aqualinc Research Ltd.","Touch Water Ltd.","Business Enterprise","Business Enterprise",1
"Aqualinc Research Ltd.","University of Canterbury","Business Enterprise","Higher Education",3
"Aqualinc Research Ltd.","University of Otago","Business Enterprise","Higher Education",1
"Aqualinc Research Ltd.","Victoria University of Wellington","Business Enterprise","Higher Education",3
"Aquanet Consulting Ltd.","Massey University","Business Enterprise","Higher Education",1
"Aquatic Research Solutions Ltd.","Cawthron Institute","Business Enterprise","Business Enterprise",1
"Aquatic Research Solutions Ltd.","NIWA","Business Enterprise","Government",3
"Aquatic Research Solutions Ltd.","University of Canterbury","Business Enterprise","Higher Education",1
"Aranui High School","Landcare Research","Government","Government",1
"Aranui High School","St Margaret's College","Government","Private not for profit",1
"ARANZ Geo Ltd","Contact Energy Ltd.","Business Enterprise","Business Enterprise",1
"ARANZ Geo Ltd","GNS Science","Business Enterprise","Government",1
"ARANZ Medical Scanning","Nurse Maude Association","Business Enterprise","Private not for profit",1
"ARANZ Medical Scanning","University of Canterbury","Business Enterprise","Higher Education",2
"Areograph Ltd.","University of Canterbury","Business Enterprise","Higher Education",6
"Areograph Ltd.","University of Otago","Business Enterprise","Higher Education",1
"ARH Construction","University of Auckland","Business Enterprise","Higher Education",1
"Aroa Biosurgery","Callaghan Innovation","Business Enterprise","Government",1
"Aroa Biosurgery","Massey University","Business Enterprise","Higher Education",3
"Aroa Biosurgery","Trinity Bioactives Ltd","Business Enterprise","Business Enterprise",1
"Aroa Biosurgery","University of Auckland","Business Enterprise","Higher Education",1
"Aroa Biosurgery","University of Otago","Business Enterprise","Higher Education",1
"Aroa Biosurgery","Victoria University of Wellington","Business Enterprise","Higher Education",1
"Aroa Biosurgery","Waikato District Health Board","Business Enterprise","Government",1
"Arohanui Hospice","MidCentral District Health Board","Business Enterprise","Government",4
"Arotec Diagnostics Ltd.","Mesynthes Ltd.","Business Enterprise","Business Enterprise",1
"Arotec Diagnostics Ltd.","Victoria University of Wellington","Business Enterprise","Higher Education",1
"Ascot Angiography","Auckland District Health Board","Business Enterprise","Government",1
"Ascot Angiography","Canterbury District Health Board","Business Enterprise","Government",1
"Ascot Angiography","Capital and Coast District Health Board","Business Enterprise","Government",1
"Ascot Women's Cancer Centre of New Zealand","Labtests","Business Enterprise","Business Enterprise",1
"Asia New Zealand Foundation","AUT University","Private not for profit","Higher Education",1
"Asia New Zealand Foundation","International Student Ministries of New Zealand","Private not for profit","Private not for profit",1
"Asia New Zealand Foundation","Massey University","Private not for profit","Higher Education",1
"Asia New Zealand Foundation","University of Otago","Private not for profit","Higher Education",1
"Asphalt Products Limited","University of Canterbury","Business Enterprise","Higher Education",2
"Aspiring Veterinary Service Ltd","Massey University","Business Enterprise","Higher Education",1
"Aspiring Veterinary Service Ltd","MSD Animal Health Ltd","Business Enterprise","Business Enterprise",1
"Aspiring Veterinary Service Ltd","Taihape Veterinary Services Ltd","Business Enterprise","Business Enterprise",1
"Aspiring Veterinary Service Ltd","The Vet Centre Marlborough Ltd","Business Enterprise","Business Enterprise",1
"ASR Limited Martine Consulting and Research","Coastal and Aquatic Systems Ltd","Business Enterprise","Business Enterprise",1
"ASR Limited Martine Consulting and Research","NIWA","Business Enterprise","Government",1
"ASR Limited Martine Consulting and Research","Unitec","Business Enterprise","Higher Education",1
"ASR Limited Martine Consulting and Research","University of Waikato","Business Enterprise","Higher Education",1
"ASR Limited Martine Consulting and Research","Waikato Regional Council","Business Enterprise","Government",1
"Assa Abloy New Zealand Ltd","University of Otago","Business Enterprise","Higher Education",1
"Assistive Technology Ltd.","Massey University","Business Enterprise","Higher Education",1
"Assurity Consulting Ltd","AUT University","Business Enterprise","Higher Education",2
"AsureQuality","Massey University","Business Enterprise","Higher Education",1
"AsureQuality","Northcott Research Consultants Ltd.","Business Enterprise","Business Enterprise",1
"AsureQuality","University of Canterbury","Business Enterprise","Higher Education",1
