"DENTS";"DENTS_F";"TPOP";"OPOP";"OCTY";"PGRW";"NGRW";"PINC";"ELD";"LNHDD";"LANDV";"BIRTHS"
5;"5 and more";5,9330001;0,53092998;0,42199999;0,012;0;6,0310001;0,14611302;8,7767839;0,193;171
1;"1";1,235;0,1257;0,083999999;0;-0,114;6,0609999;0,20727019;8,7767839;0,31400001;33
2;"2";1,057;0,057330001;0,072999999;0;-0,01;6,5710001;0,22091363;8,7767839;0,20100001;50
2;"2";0,72000003;0,01963;0,024;0,052999999;0;4,9689999;0,19191919;8,7767839;0,096000001;18
4;"4";4,8850002;2,08777;0,461;0;-0,38;6,3189998;0,20627482;8,6939993;0,91000003;133
6;"5 and more";5,638;0,23089999;0,273;0,662;0;6,723;0,13615976;8,7767839;0,442;165
2;"2";3,1199999;0,073040001;0,164;0;-0,56;6,5440001;0,13867268;8,7767839;0,25799999;101
1;"1";1,2180001;0,15379;0,25099999;0,13699999;0;7,263;0,089350857;8,7045021;0,112;331
8;"5 and more";8,7580004;0,10379;0,25099999;1,137;0;7,263;0,089350857;8,7045021;0,112;331
0;"0";0,5;0,013350001;0,055;0;-0,046999998;5,8130002;0,066777967;8,7045021;0,20299999;29
4;"4";4,1399999;0,04163;0,192;0,55299997;0;6,8759999;0,073881708;8,7045021;0,234;199
1;"1";2,7490001;0,018059999;0,033;0,89300001;0;7,2540002;0,05323847;8,7045021;0,106;86
0;"0";0,69999999;0,05728;0,059;0,059;0;5,5819998;0,12808146;7,8367648;0,44100001;97
2;"2";3,7409999;0,05184;0,089000002;0,20200001;0;6,1529999;0,10760817;8,6597338;0,35600001;108
2;"2";1,952;0,03142;0,32100001;0,236;0;7,1690001;0,090406723;7,8367648;0,242;153
1;"1";1,6799999;0,021989999;0,147;0,109;0;6,5910001;0,11443662;8,7045021;0,15700001;59
4;"4";4,882;0,14475;0,14300001;0,70599997;0;7,079;0,12048488;8,7045021;0,219;180
0;"0";0,43900001;0,021989999;0,046;0,085000001;0;4,6950002;0,13529412;8,3925362;0,092;49
17;"5 and more";39,675999;0,47573;0,78200001;5,7680001;0;5,8280001;0,14114632;8,0475092;0,12800001;965
0;"0";1,421;0,034560002;0,068000004;0;-0,19400001;5,1869998;0,21026894;8,0475092;0,079000004;44
16;"5 and more";45,085999;4,4661403;3,1129999;7,2290001;0;5,2839999;0,072067678;8,0258436;0,648;1795
5;"5 and more";10,385;0,99823999;0,611;0,07;0;6,0570002;0,12531605;7,9490914;0,23800001;993
1;"1";2,4690001;0,2393;0,059999999;0;-0,016000001;3,8499999;0,1216637;8,7620201;0,090000004;88
0;"0";0,38100001;0,033769999;0,033;0;-0,094999999;5,2670002;0,17522936;7,6381984;0,088;17
0;"0";3,1949999;0,065190002;0,22499999;0;-0,234;5,2420001;0,0927426;8,0258436;0,14300001;124
3;"3";9,9639997;0,54109997;0,237;1,6210001;0;4,79;0,16843118;8,0258436;0,152;275
10;"5 and more";18,160999;1,7027299;1,3049999;3,5650001;0;4,1960001;0,049212564;8,3925362;0,072999999;1666
3;"3";6,7649999;0,23675999;0,132;0;-0,42399999;5,5609999;0,15656613;7,6381984;0,119;179
2;"2";5,2189999;0,1397;0,054000001;0,56300002;0;4,6370001;0,29500827;8,0258436;0,097000003;97
3;"3";7,5760002;0,34893;0,155;2,8889999;0;4,4689999;0,088492759;8,3925362;0,117;244
1;"1";2,9679999;0,205;0,044;0,037;0;5,9569998;0,17206348;8,7620201;0,125;75
1;"1";1,159;0,14839999;0,39500001;0,046999998;0;5,4689999;0,16626936;8,9049015;1,635;57
0;"0";0,60000002;0,3536;0,28099999;0,1;0;4,2950001;0,15085986;8,0811653;0,93900001;91
1;"1";0,75800002;0,26429999;0,354;0;-0,14399999;4,1389999;0,15018868;8,0811653;0,89899999;71
2;"2";2,0710001;0,1052;0,112;0,30899999;0;6,1950002;0,13502009;9,1132784;0,2;63
2;"2";2,335;0,26389998;0,227;0,153;0;6,1069999;0,17050812;9,198369;0,48500001;116
1;"1";1,469;0,1013;0,11;0;-0,075999998;6,2350001;0,20177448;9,1500597;0,25799999;46
1;"1";1,561;0,17989999;0,13;0;-0,134;4,6919999;0,15518121;9,1132784;0,25299999;56
1;"1";1,381;0,07147;0,064999998;0;-0,027000001;6,2389998;0,16143873;9,1132784;0,2;63
4;"4";5,2729998;0,1045;0,266;2,6889999;0;7,0710001;0,10219055;9,1132784;0,243;199
2;"2";3,335;0,19239999;0,15000001;0,44600001;0;5,2789998;0,18066818;9,1500597;0,28099999;90
2;"2";1,049;0,16339999;0,20299999;0,098999999;0;5,73;0,17405765;9,1500597;0,34400001;70
1;"1";0,65799999;0,16960001;0,177;0;-0,006;4,9359999;0,16211422;9,1132784;0,27500001;28
0;"0";0,77100003;0,1838;0,046999998;0;-0,382;3,642;0,054143645;9,1132784;0,127;129
1;"1";1,4960001;0,18689999;0,11;0;-0,016000001;6,2119999;0,19792695;9,1500597;0,40599999;62
1;"1";2,527;0,2419;0,199;0,16599999;0;5,52;0,20246454;9,1132784;0,37599999;84
1;"1";1,939;0,1806;0,55800003;0,086000003;0;7,2589998;0,14325595;8,2332373;0,25600001;108
1;"1";1,761;0,30939999;0,068999998;0;-0,23199999;6,138;0,15323465;8,2332373;0,199;73
2;"2";1,7589999;0,1107;0,43599999;0,213;0;6,8169999;0,18656182;8,2332373;0,30700001;94
1;"1";1,498;0,22230001;0,43700001;0,068999998;0;7,1479998;0,093230486;8,4534006;0,28600001;129
2;"2";2,003;0,10919999;0,052000001;0,32300001;0;6,277;0,14849444;8,4534006;0,273;133
